"Adresse","Type de contenu","Taille (octets)","Liens entrants IMG","Indexabilité","Statut d'indexabilité","Dimensions"
"https://www.rougier-ple.fr/phproduct/20180228/P_476457_P_1_LISTE.jpg","image/jpeg","4155","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318641_P_1_LISTE.jpg","image/jpeg","4171","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20171025/P_318671_P_1_LISTE.jpg","image/jpeg","2916","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318675_P_1_LISTE.jpg","image/jpeg","4129","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318647_P_1_LISTE.jpg","image/jpeg","4039","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20171031/P_318764_P_1_LISTE.jpg","image/jpeg","3265","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190128/P_318740_P_1_LISTE.jpg","image/jpeg","3144","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20180425/P_476464_P_1_LISTE.jpg","image/jpeg","3058","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650897_P_1_LISTE.jpg","image/jpeg","4205","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20120605/P_118726_P_1_LISTE.jpg","image/jpeg","3669","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650892_P_1_LISTE.jpg","image/jpeg","4593","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20221221/P_616521_P_1_LISTE.jpg","image/jpeg","5661","2","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/stickers/multi-couleur-NEW.png","image/png","4589","320","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650916_P_1_LISTE_MEA.jpg","image/jpeg","13504","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20221221/P_616522_P_1_LISTE.jpg","image/jpeg","5605","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650895_P_1_LISTE.jpg","image/jpeg","4626","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20221221/P_625830_P_1_LISTE.jpg","image/jpeg","5088","2","Indexable","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/img/merchandising/btn_voirProduit.png","image/png","2657","156","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/produit/fake-produit-1-2025.gif","image/gif","7988","33","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20150123/P_362556_P_1_LISTE.jpg","image/jpeg","3915","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650890_P_1_LISTE.jpg","image/jpeg","4381","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20250122/P_118760_P_1_LISTE.jpg","image/jpeg","15527","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20120605/P_118813_P_1_LISTE.jpg","image/jpeg","3460","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20190611/P_583242_P_1_LISTE.jpg","image/jpeg","3812","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20161104/P_540371_P_1_LISTE.jpg","image/jpeg","2242","1","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650915_P_1_LISTE.jpg","image/jpeg","7856","2","Indexable","",""
"https://www.rougier-ple.fr/VAD/resources/fr_FR/img/merchandising/fleche_haut.png","image/png","766","156","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650888_P_1_LISTE.jpg","image/jpeg","4479","2","Indexable","",""
"https://www.rougier-ple.fr/phproduct/20230425/P_650875_P_1_LISTE.jpg","image/jpeg","4823","2","Indexable","",""
"https://www.rougier-ple.fr/library/pictures/cms/image-page-corpo.jpg","image/jpeg","0","7","Indexable","",""
