"Adresse","Occurrences","Meta Description 1","Longueur de la Meta Description 1","Largeur en pixels de la Meta Description 1","Indexabilité","Statut d'indexabilité"
"https://www.rougier-ple.fr/aerographe-compresseur.r.html","1","AÉROGRAPHE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","696","Indexable",""
"https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","1","LES MARQUES MDD ROUGIER&PLÉ sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","130","828","Indexable",""
"https://www.rougier-ple.fr/peluche-poupee-diy.r.html","1","PELUCHE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","110","667","Indexable",""
"https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","1","GOMMETTE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","111","683","Indexable",""
"https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","1","BEAUX-ARTS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","113","689","Indexable",""
"https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","1","CARTE À GRATTER sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","118","727","Indexable",""
"https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","1","VERNIS sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","109","654","Indexable",""
"https://www.rougier-ple.fr/coloriages-mysteres.r.html","1","COLORIAGES MYSTÈRES sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","122","764","Indexable",""
"https://www.rougier-ple.fr/conditions-generales-vente.r.html","1","","0","0","Indexable",""
"https://www.rougier-ple.fr/encre-1596.r.html","1","ENCRE LINOGRAVURE sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","120","747","Indexable",""
"https://www.rougier-ple.fr/carterie-creative.r.html","1","Carterie Créative : 
				Fournitures et matériel du rayon 
				Carterie Créative 
				avec Rougier & Plé pour vos loisirs créatifs et Beaux-Arts.","148","784","Indexable",""
"https://www.rougier-ple.fr/tableau-creatif-enfant.r.html","1","TABLEAU CRÉATIF sur Rougier & Plé : 50 000 articles de loisirs créatifs et beaux arts sur notre site de vente en ligne","118","725","Indexable",""
