"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.rougier-ple.fr/sennelier.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/sennelier.r.html","",""
"https://www.rougier-ple.fr/plume-calame.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/plume-calame.r.html","",""
"https://www.rougier-ple.fr/nouveautes2.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/nouveautes2.r.html","",""
"https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","",""
"https://www.rougier-ple.fr/aerographe-compresseur.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/aerographe-compresseur.r.html","",""
"https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","",""
"https://www.rougier-ple.fr/peluche-poupee-diy.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/peluche-poupee-diy.r.html","",""
"https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","",""
"https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","text/html;charset=UTF-8","200","OK","1.1","Indexable","","https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","",""
"https://www.rougier-ple.fr/library/css/img/BigMenu-2026-MoisColart.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
