"Adresse","Type de contenu","Code HTTP","Statut","Indexabilité","Statut d'indexabilité","Liens entrants","Temps de réponse","URL de redirection","Type de redirection"
"https://www.rougier-ple.fr/crayon-porte-mine-mine.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,802","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/encarts-bas-site-mag.jpg","image/jpeg","200","OK","Indexable","","0","0,074","",""
"https://www.rougier-ple.fr/pastel.r.html","text/html;charset=UTF-8","200","OK","Indexable","","283","0,521","",""
"https://www.rougier-ple.fr/plan-du-site.r.html","text/html;charset=UTF-8","200","OK","Indexable","","278","0,490","",""
"https://www.rougier-ple.fr/calligraphie.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","1,145","",""
"https://www.rougier-ple.fr/paiement-securise.r.html","text/html;charset=UTF-8","200","OK","Indexable","","556","0,110","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-Nouveautes-2026.jpg","image/jpeg","200","OK","Indexable","","0","0,060","",""
"https://www.rougier-ple.fr/porte-mine-etui-mine.r.html","text/html;charset=UTF-8","200","OK","Indexable","","403","1,522","",""
"https://www.rougier-ple.fr/sac-de-transport-carton-dessin-tube.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,767","",""
"https://www.rougier-ple.fr/reception.r.html","text/html;charset=UTF-8","200","OK","Indexable","","558","0,132","",""
"https://www.rougier-ple.fr/trousse-2996.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,432","",""
"https://www.rougier-ple.fr/restauration.r.html","text/html;charset=UTF-8","200","OK","Indexable","","279","0,303","",""
"https://www.rougier-ple.fr/library/css/img/encart_layer3.png","image/png","200","OK","Indexable","","0","0,063","",""
"https://www.rougier-ple.fr/library/pictures/footer/Tiktko-Footer.png","image/png","200","OK","Indexable","","0","0,057","",""
"https://www.rougier-ple.fr/papier-reliure.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,348","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques-titre.jpg","image/jpeg","200","OK","Indexable","","0","0,057","",""
"https://www.rougier-ple.fr/herbier-jeu-exploration.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,350","",""
"https://www.rougier-ple.fr/stylo-stylo-plume.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,679","",""
"https://www.rougier-ple.fr/accessoire-encadrement.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,861","",""
"https://www.rougier-ple.fr/feutre-marqueur.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,490","",""
"https://www.rougier-ple.fr/VAD/resources/js/jquery/box.js","text/javascript","200","OK","Indexable","","0","0,059","",""
"https://www.rougier-ple.fr/les-marques/charbonnel.r.html","text/html;charset=UTF-8","200","OK","Indexable","","12","2,556","",""
"https://www.rougier-ple.fr/livre.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,780","",""
"https://www.rougier-ple.fr/library/css/img/BigMenu-2026-DestockageEnfant.jpg","image/jpeg","200","OK","Indexable","","0","0,070","",""
"https://www.rougier-ple.fr/cadre-sous-verre.r.html","text/html;charset=UTF-8","200","OK","Indexable","","682","1,584","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-Bons-Plans-2026.png","image/png","200","OK","Indexable","","0","0,018","",""
"https://www.rougier-ple.fr/scrapbooking.r.html","text/html;charset=UTF-8","200","OK","Indexable","","282","0,940","",""
"https://www.rougier-ple.fr/feutres-alcool.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,466","",""
"https://www.rougier-ple.fr/beaux-arts/gouache.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","1,479","",""
"https://www.rougier-ple.fr/loisirs-argile-autodurcissante.r.html","text/html;charset=UTF-8","200","OK","Indexable","","683","1,601","",""
"https://www.rougier-ple.fr/peinture-acrylique.r.html","text/html;charset=UTF-8","200","OK","Indexable","","284","0,680","",""
"https://www.rougier-ple.fr/contact.r.html","text/html;charset=UTF-8","200","OK","Indexable","","844","0,069","",""
"https://www.rougier-ple.fr/meilleures-ventes2.r.html","text/html;charset=UTF-8","200","OK","Indexable","","1671","0,545","",""
"https://www.rougier-ple.fr/library/css/img/puce-7.png","image/png","200","OK","Indexable","","0","0,020","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/bandeau-marques_faber.jpg","image/jpeg","200","OK","Indexable","","0","0,101","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-T2S-Home-MDD-2026.jpg","image/jpeg","200","OK","Indexable","","0","0,093","",""
"https://www.rougier-ple.fr/cartable.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,822","",""
"https://www.rougier-ple.fr/sennelier.r.html","text/html;charset=UTF-8","200","OK","Indexable","","21","2,836","",""
"https://www.rougier-ple.fr/plume-calame.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","2,171","",""
"https://www.rougier-ple.fr/nouveautes2.r.html","text/html;charset=UTF-8","200","OK","Indexable","","2228","0,104","",""
"https://www.rougier-ple.fr/modelage-fimo-pate-modeler-loisir.r.html","text/html;charset=UTF-8","200","OK","Indexable","","280","0,625","",""
"https://www.rougier-ple.fr/aerographe-compresseur.r.html","text/html;charset=UTF-8","200","OK","Indexable","","404","2,090","",""
"https://www.rougier-ple.fr/les-marques-rougier-ple.r.html","text/html;charset=UTF-8","200","OK","Indexable","","3","0,174","",""
"https://www.rougier-ple.fr/peluche-poupee-diy.r.html","text/html;charset=UTF-8","200","OK","Indexable","","407","1,951","",""
"https://www.rougier-ple.fr/decoupage-pliage-gomette.r.html","text/html;charset=UTF-8","200","OK","Indexable","","288","0,576","",""
"https://www.rougier-ple.fr/meilleures-ventes-beaux-arts.r.html","text/html;charset=UTF-8","200","OK","Indexable","","5","0,144","",""
"https://www.rougier-ple.fr/library/css/img/BigMenu-2026-MoisColart.jpg","image/jpeg","200","OK","Indexable","","0","0,056","",""
"http://www.boldchat.com/","","0","Échec de la recherche DNS","Non indexable","Pas de réponse","278","","",""
"https://www.googletagmanager.com/ns.html?id=GTM-7PQL","text/html; charset=UTF-8","200","OK","Indexable","","0","0,031","",""
"https://www.rougier-ple.fr/VAD/resources/js/common/md5.js","text/javascript","200","OK","Indexable","","0","0,101","",""
"https://www.rougier-ple.fr/carte-gratter-carte-pailleter.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,900","",""
"https://www.rougier-ple.fr/library/css/img/encart_layer2.png","image/png","200","OK","Indexable","","0","0,058","",""
"https://www.rougier-ple.fr/library/pictures/home_page/h2/Encarts-Rougier-2025-S10_01.png","image/png","200","OK","Indexable","","0","0,071","",""
"https://www.rougier-ple.fr/vernis-colle-pinceau-1592.r.html","text/html;charset=UTF-8","200","OK","Indexable","","405","1,831","",""
