"Adresse","Type de contenu","Code HTTP","Statut","Version HTTP","Indexabilité","Statut d'indexabilité","Élément de lien en version canonique 1","Meta Robots 1","Balise X-Robots 1"
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-2033-recadree-pour-site/3921248026.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1850-recadree-pour-sit/3013739154.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0046-4/3483481883.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-1948-recadree-pour-site/366759582.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-2931-2-1/3617608236.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/infopro-digital-0225-3/542908616.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2025/01/infopro-digital-0123-recadree/500225318.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2024/10/dscf0101-2/3806677773.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/john-van-der-valk-rejoint-infopro-digital-en-tant-que-directeur-general-delegue-salons/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/plugins/facetwp/assets/js/dist/front.min.js?ver=4.4.1","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/news/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/news/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/js/src/accessibility.js?ver=1771512790","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/facetwp/assets/vendor/fSelect/fSelect.js?ver=1771512790","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/communique-infopro-digital-acquiert-eucon-automotive-fournisseur-mondial-des-donnees-de-prix-et-solutions-analytiques-dans-lapres-vente-automobile/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/uploads/sites/2/2025/12/couverture-guide.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/plugins/wp-rocket/assets/js/wpr-beacon.min.js","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/danielle-attias-nommee-dg-deleguee-medias-construction-collectivites-et-emploi/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/news/infopro-digital-ranked-9th-french-software-publisher-by-ey/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/data-protection/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/data-protection/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/nomination-de-ben-wood/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/protection-des-donnees/pt/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/pt/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","text/html; charset=UTF-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/actualites/infopro-digital-a-signe-un-accord-en-vue-dacquerir-la-division-hse-du-groupe-karnov-et-renforce-son-offre-de-solutions-logicielles-pour-la-veille-reglementaire-et-la-conformite-en-matiere-d/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/protection-des-donnees/eng/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/eng/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/protection-des-donnees/es/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/es/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/fr/protection-des-donnees/nl/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/nl/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/wp/wp-includes/js/dist/a11y.min.js?ver=bc1cfd1aec","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2022/07/we-re-hiring-featured-image/3872242938.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/fr/protection-des-donnees/fr/","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.infopro-digital.com/fr/protection-des-donnees/fr/","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",""
"https://www.infopro-digital.com/app/cache/min/2/app/plugins/friendly-captcha/public/mutation-observer.js?ver=1771512909","application/javascript","200","OK","1.1","Indexable","","","",""
"https://www.infopro-digital.com/app/uploads/sites/2/cache/2022/09/infopro-digital-05-2021-extras-7/3103992724.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
