"Adresse","Title 1","Occurrences","Hreflang HTML 1","URL hreflang HTML 1","Hreflang HTML 2","URL hreflang HTML 2","Hreflang HTTP 1","URL hreflang HTTP 1","Hreflang du sitemap 1","URL hreflang du sitemap 1","Indexabilité","Statut d'indexabilité"
"https://www.infopro-digital.com/fr/protection-des-donnees/es/","POLÍTICA DE DATOS PERSONALES - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/es/","en","https://www.infopro-digital.com/data-protection/es/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/nl/","BELEID INZAKE PERSOONSGEGEVENS - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/nl/","en","https://www.infopro-digital.com/data-protection/nl/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/fr/","POLITIQUE EN MATIÈRE DE DONNÉES PERSONNELLES - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/fr/","en","https://www.infopro-digital.com/data-protection/fr/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/de/","RICHTLINIE ZUM SCHUTZ PERSONENBEZOGENER DATEN - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/de/","en","https://www.infopro-digital.com/data-protection/de/","","","","","Indexable",""
"https://www.infopro-digital.com/careers/","Hiring digital, tech, sales, and content experts","2","fr","https://www.infopro-digital.com/fr/carrieres/","en","https://www.infopro-digital.com/careers/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/politica-privind-datele-cu-caracter-personal/","POLITICA PRIVIND DATELE CU CARACTER PERSONAL - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/politica-privind-datele-cu-caracter-personal/","en","https://www.infopro-digital.com/data-protection/politica-privind-datele-cu-caracter-personal/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/protection-des-donnees/it/","INFORMATIVA SUI DATI PERSONALI - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/protection-des-donnees/it/","en","https://www.infopro-digital.com/data-protection/it/","","","","","Indexable",""
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=marketing","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/carrieres/job-board/?_jobs=commerce","Job Board - Infopro Digital","2","fr","https://www.infopro-digital.com/fr/carrieres/job-board/","en","https://www.infopro-digital.com/careers/job-board/","","","","","Non indexable","Canonisé"
"https://www.infopro-digital.com/fr/actualites/infopro-digital-acteur-majeur-du-paysage-technologique-francais/","[Communiqué] Infopro Digital, acteur majeur du paysage technologique français - Infopro Digital","0","","","","","","","","","Indexable",""
